"code"	"clus"	"jun"	"jul"	"ago"
"0671c2b9132a3f5215a4212ce0691694"	2	3755	7160	3849
"09f544ec2a74c89abeec7b0590fc2d11"	1	10157	11367	10515
"0ad316f6b5cb5e81ebff73ae2490ccfe"	1	10157	11367	10515
"0bbe09e34a11e8e31cf49d6f8df2992d"	1	10157	11367	10515
"0dca7ec6ba9b6e8f17f04f713a6be727"	1	10157	11367	10515
"0f38be2df6854b4374f06cae1bc38482"	1	10157	11367	10515
"118484c270085e811fbbc81978a269b2"	1	10157	11367	10515
"13b69fd4bf80b95756e3b138c9169a7f"	1	10157	11367	10515
"174ef25d9556d516a813e2972f3b8351"	1	10157	11367	10515
"193628b6634713730d3c506f2da0ff58"	1	10157	11367	10515
"1a225367d52023424b6f4b2aa8632615"	1	10157	11367	10515
"1b3980ee40dc5d60ecae3b19cd41f49a"	1	10157	11367	10515
"1c234775cae774823f38abe6721e61a4"	1	10157	11367	10515
"1c619f92929dbaa41df54608dc70a7ce"	1	10157	11367	10515
"1dbe25b2fd344aed0c444fd6b715525b"	1	10157	11367	10515
"1f12f1e1b9e7a20d4ad9dd549ec072c0"	1	10157	11367	10515
"213005fe5d815c539812614f1f6a7768"	1	10157	11367	10515
"23056d85a1c9115cd021a6ad35c84aff"	1	10157	11367	10515
"24549e47832f72f647d40a86b43b6925"	1	10157	11367	10515
"270dcdb08fc6470a6976f43b8169b0f6"	1	10157	11367	10515
"29424aaf6e27a8dbe4b7273a0a39131d"	1	10157	11367	10515
"29f175b6bccc264e8141481dcda8102d"	1	10157	11367	10515
"2ab0e87dbce6ac45502aa1d2a8265933"	1	10157	11367	10515
"2bc9e1d807d8f9187b8650acd35a14e5"	1	10157	11367	10515
"2e35421c34fb588ba40a0c57b3971d24"	3	2260	2260	2260
"30b6a9b1621f558d788ffb3d07a19281"	1	10157	11367	10515
"32ceebf3efea1d04ace4183d20d4da5b"	2	3755	7160	3849
"3454ea52396a4cfd3fc37414d30c7b9c"	2	3755	7160	3849
"3657af9de7395eaba0dbcbcaa6fd90be"	1	10157	11367	10515
"373cc1cfc10a45488be6b97bd5e94c44"	1	10157	11367	10515
"374e1947dcb8f4848f4ada6f04921edd"	1	10157	11367	10515
"37a62c0ad48679cee5554655de294721"	1	10157	11367	10515
"37e2a39e829495d13b6cbb5320413e48"	1	10157	11367	10515
"390943ce05959ac98c702d250c2ebb54"	1	10157	11367	10515
"3a36dc63a58442085d0ccd98c4f9c64a"	1	10157	11367	10515
"3b4407288e2983a514a241c9b84b7094"	1	10157	11367	10515
"3bc993e0f0c636e9aaaefa0356bdecc0"	1	10157	11367	10515
"3d21b63892749e921e3ff5818753bd67"	1	10157	11367	10515
"3d3d13446c52ecaaed5d0bf55a933d4d"	1	10157	11367	10515
"3da22f1b88a20ea8efc3d83fcb872e21"	1	10157	11367	10515
"40bddb00475d65eddb68e9aeb6fab0de"	1	10157	11367	10515
"40d98a2375332cb635d4cb28ab68e087"	1	10157	11367	10515
"411e1404e183718207628232e91ce5a9"	1	10157	11367	10515
"41e2bee39c1d3ef52fcedd69d0ab8c8c"	1	10157	11367	10515
"42920a6f15855662ee9a272fbe44cbd1"	1	10157	11367	10515
"4534ea61b50410b3b6243e02b40c8cd1"	2	3755	7160	3849
"453d427550d3816e446d4882bf67a75f"	1	10157	11367	10515
"4557c7e5af70efd2e3ca2befd59ccdc3"	1	10157	11367	10515
"498556cd1dade09f21fea97d3c916875"	1	10157	11367	10515
"49d1447a5d1a218169eef2ea58cdc149"	1	10157	11367	10515
"4b58730cdc153f4eeda0d1321e630ba4"	1	10157	11367	10515
"4ceedf57303e127d31a164c7ae5791d8"	1	10157	11367	10515
"4ef261b089aa567ef24778fae254bfe2"	1	10157	11367	10515
"51016cd454b391dd0b0e23b2b16b6fc3"	1	10157	11367	10515
"525848b647262de5fd7be193b17cdaac"	1	10157	11367	10515
"54209126056016c7c391c0c8fd8e6eff"	1	10157	11367	10515
"547bbdaa191bdb83d5b5b376bf2402fb"	1	10157	11367	10515
"5490e2abafb28c022e53b55ba6641122"	1	10157	11367	10515
"55447a73ff140176f4210347854c71f1"	1	10157	11367	10515
"5837d4e32e5382af65d33b4dfbd9f561"	1	10157	11367	10515
"585eead66aaf3b2e140d480979184ae6"	1	10157	11367	10515
"59af761735fbd646f8a8f98dc88f6fab"	1	10157	11367	10515
"5b7a30a9e6a43b170ad4d9e00d8d9359"	2	3755	7160	3849
"5bcebbc4f704cffaf2e6ccaf1d1fb5c7"	1	10157	11367	10515
"5e39201e582b1bb89cae7f650e4330c8"	1	10157	11367	10515
"5e4c14883e5a606fac56b2630da5dca7"	1	10157	11367	10515
"5fb59bee157577ee04a269e52af88598"	1	10157	11367	10515
"5ff2d52d31bf9ad42924a35c4729ffdb"	1	10157	11367	10515
"600c486af5e3f2d1624d2fc872e20e16"	1	10157	11367	10515
"60424117a2618c7184687046fa5693c4"	1	10157	11367	10515
"618ea23457368cf423b03d6b8fede992"	1	10157	11367	10515
"630b051b117d509fc00a7c72328b1ddf"	1	10157	11367	10515
"6411de56554a998e78ae1317fc956e19"	1	10157	11367	10515
"6ace63708a91744bea8a68311bb3506c"	1	10157	11367	10515
"6c82ad0e791258434fd42c51409b0239"	1	10157	11367	10515
"6e6ae6bc648c6a00b4a4b7a8e976a41a"	1	10157	11367	10515
"7162b3182cd93dd197257b0339627554"	1	10157	11367	10515
"723f73c85e91fc31d147dfade389d4f9"	1	10157	11367	10515
"727673fa3e457bc596532b3eb26b23a0"	2	3755	7160	3849
"75caad099f6f8c205e22e93826732c22"	1	10157	11367	10515
"760693745e10b0c5e68c42214c729b0d"	2	3755	7160	3849
"7c829a5a8a0e4408b682f4394783483e"	1	10157	11367	10515
"7da116bd1d42f3475803402e710253cf"	1	10157	11367	10515
"7e3713530b46887cff58a2e2ac433ac5"	1	10157	11367	10515
"8bdd60f700ed8368e66080eb6bb6d313"	1	10157	11367	10515
"8ca06ab9bced028b2f180d4fa0527588"	1	10157	11367	10515
"8e5d2c3f2476cb5c507dd0f00f6eabda"	1	10157	11367	10515
"9cdf9e07e226869d8da4a3e10ac65c62"	1	10157	11367	10515
"9e5dd3c1d252136c4351b84589dae2b5"	1	10157	11367	10515
"a0c96bb1b4117eeeae27b77a1381f55f"	1	10157	11367	10515
"a2018dae10d736a66eea5a0a349ef9ee"	1	10157	11367	10515
"a36f5dfa4f08cdfe64594061ba76f30e"	1	10157	11367	10515
"a586c072b4a3958ac72a6fff71730cb3"	1	10157	11367	10515
"a7772a34be22f0fd09f0ef36b6eb337f"	1	10157	11367	10515
"abf2d3cb446492ee7897087db9a0b2a0"	1	10157	11367	10515
"ae5a740ca930b9149f590179b0dde3f3"	1	10157	11367	10515
"b08b7321c4db8f45a1a97a79d1e44dd8"	1	10157	11367	10515
"b272ba3f4adb1dd16eaac1b53940629e"	1	10157	11367	10515
"b367e71967b4701550ffce69e729ee6f"	1	10157	11367	10515
"b3fca69c356bec270dc3a90f8b498883"	1	10157	11367	10515
"b763aecfcfc8cbac2c3a51488d33480a"	1	10157	11367	10515
"b9d929195dcd4e6a36e5e65891746b5e"	1	10157	11367	10515
"bc4d7296a37f5dfa0944b3274229b0a0"	1	10157	11367	10515
"bc97d7cb7c13c2a7ff4558bb12a3f047"	1	10157	11367	10515
"c254dc11afbcc091678f0ab49a02e7ad"	1	10157	11367	10515
"c27a276b623c751a6b0a8ad6243d681d"	1	10157	11367	10515
"c32ada18ec4f2992e8c003ffeb73b97b"	1	10157	11367	10515
"c348d9bc6a152d8d34489a79ab9452a7"	1	10157	11367	10515
"c443d252c048280160fc427766d9f1f4"	1	10157	11367	10515
"c80a47e4c53432d9ee8cd98c9ce13769"	1	10157	11367	10515
"c85bd735a203c905716bc8fba284d02a"	1	10157	11367	10515
"c85f192a81fa83780e5c012175749eee"	1	10157	11367	10515
"cbeb3a98c1c9b01522db6ee2128ed805"	1	10157	11367	10515
"ce4baabfbcb1d43e22f7ba44b49f2714"	1	10157	11367	10515
"d32bc6c4069b86ba9e9d7d651dbf1a1e"	1	10157	11367	10515
"d408e1b5e841dde4e15a4cfa182e3812"	1	10157	11367	10515
"d4592ab52cb9cd5af0510943a4c8e28c"	1	10157	11367	10515
"d57911cca4b08f7b46417d952c0ca1dc"	1	10157	11367	10515
"d5bc9e14d090330cd07e6ccbcb3c3e4e"	2	3755	7160	3849
"d709ff164dc53eb7b8470e84c2b60974"	1	10157	11367	10515
"dd1935ffd0ee2b6ec159ba7867d11e57"	1	10157	11367	10515
"e0b4fdba39475c05a3ac9e769cce9bfa"	1	10157	11367	10515
"e13f7f001fe2b1af072a3d50d3058284"	1	10157	11367	10515
"e6017ce062eb324ab446e9983afba369"	1	10157	11367	10515
"e6762ba2ffbca07ab6cee7551caeaad5"	1	10157	11367	10515
"ee2b4e97025f5ca840570265c4288c99"	1	10157	11367	10515
"f08984b2adcbf33ba61fe13fcfa5b957"	1	10157	11367	10515
"f5f92c2a12f182115c45288a6ef28e94"	1	10157	11367	10515
"f9a023f31c8087fd0c169b3bedd351d1"	1	10157	11367	10515
"fd84644da59504bd9e9dcb4b6db63bea"	1	10157	11367	10515
"ffdad3ddbaf6c76c9bba1b48c51e03c6"	1	10157	11367	10515
